# ============================================================
# TITRE : EXÉCUTIF (PRÉSIDENCE ET PRIMATURE)
# ============================================================


# --- Présidents de la République ---
Patrice TALON;Président de la République | Chef de l'État | Chef du Gouvernement
Boni YAYI;Président de la République | Chef de l'État | Chef du Gouvernement
Nicéphore SOGLO;Président de la République | Chef de l'État | Chef du Gouvernement | Premier Ministre
Mathieu KEREKOU;Président de la République | Chef de l'État | Chef du Gouvernement | Premier Ministre

# --- Primature et Secrétariat Général ---
Adrien HOUNGBEDJI;Premier Ministre | Président de l'Assemblée Nationale
Pascal KOUPAKI;Ministre d'État | Secrétaire Général à la Présidence de la République | Ministre chargé de la Coordination de l’Action gouvernementale, de l’Évaluation des Politiques publiques, du Programme de Dénationalisation et du Dialogue social.
Abdoulaye BIO TCHANÉ;Ministre d'État chargé du Développement et de la Coordination de l'action gouvernementale

# ============================================================
# TITRE : GOUVERNEMENT (PAR DOMAINE)
# ============================================================

# --- Domaine : Justice et Institutions ---
Yvon DETCHENOU;Garde des Sceaux | Ministre de la Justice et de la Législation
Sévérin QUENUM;Garde des Sceaux | Ministre de la Justice et de la Législation
Sévérin Maxime QUENUM;Garde des Sceaux | Ministre de la Justice et de la Législation
Dorothé C. SOSSA;Ministre de la Justice et de la Législation
Joseph DJOGBE;Président de la Cour Constitutionnelle | Ministre de la Justice et de la Législation
Jean-Claude HOUNGBEDJI;Ministre de la Justice
Ganiou S. YARO;Ministre de la Justice
Sévérin M. DASSOUNDRO;Ministre de la Justice

# --- Domaine : Économie; Finances et Planification ---
Romuald WADAGNI;Ministre de l'Économie et des Finances | Ministre d'État
Abléki ABOUDOU;Ministre d'État chargé de l'Économie Nationale
Rachidi Z. GASKIN;Ministre de la Planification et de la Prospective
Soulé Mana LAWANI;Ministre de l'Économie et des Finances
Alavi Adidiatou MATHY;Ministre de l'Économie et des Finances
Désiré VIEYRA;Ministre d'État à la Présidence, Secrétaire Général, Chargé de la Coordination de l'Action Gouvernementale et de la Défense Nationale

# --- Domaine : Affaires Étrangères et Coopération ---
Aurélien AGBÉNONCI;Ministre des Affaires Étrangères et de la Coopération
Edgar Yves Monnou;Ministre des Affaires étrangères et de la Coopération
Saliou AKADIRI;Ministre des Affaires Étrangères
Antoine IDJI;Ministre des Affaires Étrangères | Président de l'Assemblée Nationale
Sylvestre WANGO;Ministre de la Coopération
Zeynab HABIB;Ambassadrice de Bonne Volonté

# --- Domaine : Intérieur; Sécurité et Défense ---
Sacca LAFIA;Ministre de l'Intérieur et de la Sécurité Publique | Membre du Conseil Electoral
Simplice AGOSSOU;Ministre de l'Intérieur
Candide AZANNAÏ;Ministre délégué auprès du Président de la République chargé de la Défense Nationale
Narcisse MEHOUENOU;Ministre de la Défense
Marcel K. AGBANOU;Ministre de la Défense
Séverin AGOSSOU;Ministre délégué auprès du Ministre d'État chargé de la Défense

# --- Domaine : Agriculture; Eau et Énergie ---
